               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.040751,            0.011522,            0.030243,             0.78845,             0.81665,             0.81392,             0.55316,            0.024896,           0.0060485,           0.0066551,            0.003333,            0.003333,            0.070003
                   1,            0.030798,           0.0074841,            0.010312,             0.79271,             0.82109,             0.83043,             0.58168,            0.022985,           0.0056787,           0.0046915,           0.0066294,           0.0066294,            0.039966
                   2,            0.028878,           0.0081479,            0.010783,             0.79242,             0.78852,             0.82065,             0.56165,            0.023714,           0.0057962,           0.0038407,           0.0097794,           0.0097794,           0.0097828
                   3,            0.025017,           0.0077468,           0.0091915,             0.79086,             0.87738,             0.85554,             0.61483,            0.021012,           0.0051803,           0.0025858,           0.0095095,           0.0095095,           0.0095095
                   4,            0.021926,           0.0068746,           0.0070177,              0.8213,             0.86601,             0.87206,             0.62825,            0.020721,           0.0049826,           0.0021379,           0.0095095,           0.0095095,           0.0095095
                   5,            0.019851,           0.0063881,           0.0060002,             0.83139,             0.87698,              0.8843,             0.65697,            0.019839,           0.0049149,           0.0017325,           0.0091406,           0.0091406,           0.0091406
                   6,            0.018335,            0.005992,           0.0051625,             0.82441,             0.89241,              0.8927,             0.66146,            0.019185,           0.0047432,           0.0015329,            0.008682,            0.008682,            0.008682
                   7,            0.017379,           0.0057483,           0.0047349,             0.83742,             0.90151,             0.89957,             0.68023,            0.018601,           0.0046068,           0.0012961,            0.008145,            0.008145,            0.008145
                   8,            0.016517,           0.0054758,            0.004375,             0.84294,             0.89022,              0.8991,             0.67847,            0.018452,           0.0045479,           0.0012548,            0.007543,            0.007543,            0.007543
                   9,            0.015614,           0.0051937,           0.0035219,              0.8551,             0.88778,             0.90305,             0.68563,             0.01819,           0.0045087,            0.001165,           0.0068906,           0.0068906,           0.0068906
                  10,            0.014792,           0.0049805,           0.0033954,             0.86243,             0.89527,             0.91164,             0.69566,            0.017745,           0.0043704,          0.00093964,            0.006204,            0.006204,            0.006204
                  11,            0.014171,           0.0047989,           0.0031507,             0.86287,             0.89439,             0.91462,             0.70287,            0.017575,           0.0043601,          0.00089577,              0.0055,              0.0055,              0.0055
                  12,            0.013398,           0.0045709,           0.0027045,             0.85452,             0.90235,             0.91938,             0.70501,            0.017501,           0.0043176,          0.00084473,            0.004796,            0.004796,            0.004796
                  13,             0.01271,           0.0044016,           0.0024116,             0.85212,             0.91894,             0.91903,             0.70927,            0.017338,           0.0043209,          0.00073663,           0.0041094,           0.0041094,           0.0041094
                  14,            0.012075,           0.0042737,           0.0021529,             0.84905,             0.91328,              0.9181,             0.71098,            0.017139,           0.0043156,          0.00068264,            0.003457,            0.003457,            0.003457
                  15,            0.011481,           0.0040872,           0.0019066,             0.85264,             0.90893,             0.91684,             0.71079,            0.017081,           0.0043205,          0.00062753,            0.002855,            0.002855,            0.002855
                  16,            0.011007,           0.0039363,           0.0017629,             0.86899,              0.8962,              0.9192,             0.71481,            0.016948,             0.00426,          0.00057723,            0.002318,            0.002318,            0.002318
                  17,            0.010463,           0.0037958,           0.0015778,             0.83933,             0.92627,             0.91954,             0.71614,            0.016914,           0.0042723,          0.00054294,           0.0018594,           0.0018594,           0.0018594
                  18,            0.010122,           0.0037137,           0.0014145,             0.86072,             0.90153,             0.91931,              0.7181,            0.016866,           0.0042849,          0.00050714,           0.0014905,           0.0014905,           0.0014905
                  19,           0.0098726,           0.0036341,           0.0013254,             0.84361,             0.92184,             0.91957,             0.71859,            0.016825,           0.0042976,          0.00047666,           0.0012202,           0.0012202,           0.0012202
